scenario,algorithm,temperature,solved,iterations,cost,time
16,CBS,,False,1024,inf,0.36413121223449707
17,F-CBS (T=0.1),0.1,False,1024,inf,3.523559331893921
17,F-CBS (T=0.2),0.2,False,1024,inf,3.4689433574676514
17,F-CBS (T=0.5),0.5,False,1024,inf,3.9277493953704834
17,F-CBS (T=1.0),1.0,False,1024,inf,3.5868337154388428
17,CBS,,False,1024,inf,3.5617921352386475
18,F-CBS (T=0.1),0.1,False,1024,inf,0.48840975761413574
18,F-CBS (T=0.2),0.2,False,1024,inf,0.4827876091003418
18,F-CBS (T=0.5),0.5,False,1024,inf,0.48784780502319336
18,F-CBS (T=1.0),1.0,False,1024,inf,0.49999165534973145
18,CBS,,False,1024,inf,0.47447776794433594
19,F-CBS (T=0.1),0.1,False,1024,inf,0.46887636184692383
19,F-CBS (T=0.2),0.2,False,1024,inf,0.48078107833862305
19,F-CBS (T=0.5),0.5,False,1024,inf,0.48047924041748047
19,F-CBS (T=1.0),1.0,False,1024,inf,0.49778151512145996
19,CBS,,False,1024,inf,0.5930380821228027
20,F-CBS (T=0.1),0.1,False,1024,inf,0.666710615158081
20,F-CBS (T=0.2),0.2,False,1024,inf,0.6715784072875977
20,F-CBS (T=0.5),0.5,False,1024,inf,0.6967864036560059
20,F-CBS (T=1.0),1.0,False,1024,inf,0.7071962356567383
20,CBS,,False,1024,inf,0.6867945194244385
21,F-CBS (T=0.1),0.1,False,1024,inf,0.9533531665802002
21,F-CBS (T=0.2),0.2,False,1024,inf,0.907883882522583
21,F-CBS (T=0.5),0.5,False,1024,inf,0.9044618606567383
21,F-CBS (T=1.0),1.0,False,1024,inf,0.9077675342559814
21,CBS,,True,10,113.0,0.009429454803466797
22,F-CBS (T=0.1),0.1,False,1024,inf,0.5917181968688965
22,F-CBS (T=0.2),0.2,False,1024,inf,0.581904411315918
22,F-CBS (T=0.5),0.5,False,1024,inf,0.6308348178863525
22,F-CBS (T=1.0),1.0,False,1024,inf,0.5955522060394287
22,CBS,,False,1024,inf,0.7196750640869141
23,F-CBS (T=0.1),0.1,True,6,74.0,0.0044765472412109375
23,F-CBS (T=0.2),0.2,True,6,74.0,0.0043184757232666016
23,F-CBS (T=0.5),0.5,True,6,74.0,0.004560708999633789
23,F-CBS (T=1.0),1.0,True,6,74.0,0.00445556640625
23,CBS,,True,6,74.0,0.0046100616455078125
24,F-CBS (T=0.1),0.1,False,1024,inf,1.3253021240234375
24,F-CBS (T=0.2),0.2,False,1024,inf,1.3267276287078857
24,F-CBS (T=0.5),0.5,False,1024,inf,1.3357374668121338
24,F-CBS (T=1.0),1.0,False,1024,inf,1.3769221305847168
24,CBS,,False,1024,inf,1.3126723766326904
25,F-CBS (T=0.1),0.1,False,1024,inf,0.6954889297485352
25,F-CBS (T=0.2),0.2,False,1024,inf,0.6964621543884277
