iteration,cost,entropy,free_energy,num_conflicts,conflict_density,entropy_production_rate,energy_dissipation_rate,cost_change_rate,entropy_variance,energy_variance,cost_variance,entropy_autocorr,energy_autocorr,cost_autocorr,exploration_rate,conflict_persistence,phase_space_velocity,thermodynamic_efficiency,entropy_to_cost_ratio,energy_gradient,system_temperature,algorithm,seed
0,179,3.125,194.625,8,0.05555555555555555,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014172260044597706,0.0,0.0,0.017458100558659217,-0.0,15.625,F-CBS (T=5.0),1
1,179,3.521928094887362,196.60964047443682,10,0.06944444444444445,0.3969280948873615,-1.9846404744367712,-1.6100380582501755e-14,0.039387978127727645,0.9846994531931973,0.0,0.0,0.0,0.0,1.0,0.03827270232658653,0.3969280948873619,0.0,0.019675575949091407,-1.9846404744367712,17.609640474436816,F-CBS (T=5.0),1
1,179,3.1841837197791887,194.92091859889595,10,0.06944444444444445,0.029591859889594476,-0.14795929944796257,-1.1149961686669062e-14,0.03056954312389139,0.7642385780972872,0.0,-1.0,-1.0,0.0,1.0,0.07033148443763337,0.33774437510817323,0.0,0.017788735864688206,-0.14795929944796257,15.920918598895952,F-CBS (T=5.0),1
2,179,3.321928094887362,195.60964047443682,10,0.06944444444444445,0.025303990955390935,-0.12651995477693592,-1.9813594780062578e-14,0.023305004721558095,0.5826251180389542,0.0,-0.8818684351196894,-0.8818684351196903,0.0,1.0,0.08610874666757029,0.1377443751081735,0.0,0.018558257513337218,-0.12651995477693592,16.609640474436816,F-CBS (T=5.0),1
2,179,3.058813890331201,194.29406945165601,9,0.0625,-0.0332372219337599,0.166186109668822,-1.8616955711013507e-14,0.027067284875789778,0.6766821218947443,0.0,-0.7023279832434747,-0.7023279832434753,0.0,1.0,0.09889450434985048,0.2631142045561612,0.005146837486199334,0.017088345756040228,0.166186109668822,15.294069451656014,F-CBS (T=5.0),1
3,179,2.936260027531527,193.68130013765764,11,0.0763888888888889,-0.06272280288293341,0.3136140144146779,-8.991038136376491e-15,0.035570484690702286,0.8892621172675561,0.0,-0.0722267641141678,-0.07222676411416991,0.0,1.0,0.10829600746496926,0.12255386279967384,0.0,0.016403687304645403,0.3136140144146779,14.681300137657644,F-CBS (T=5.0),1
3,179,2.875,193.375,8,0.05555555555555555,-0.07309664157713057,0.36548320788564265,5.703731333842699e-15,0.042743531441793284,1.0685882860448337,0.0,0.2850215922749773,0.2850215922749769,0.0,1.0,0.11881253943812853,0.06126002753152715,0.015513897866839044,0.01606145251396648,0.36548320788564265,14.375,F-CBS (T=5.0),1
4,179,2.608694969562842,192.0434748478142,10,0.06944444444444445,-0.09351977343804817,0.4675988671902252,9.251008044126083e-15,0.06899549591015888,1.7248873977539845,0.0,0.5392340718172144,0.5392340718172158,0.0,1.0,0.1288130230786948,0.26630503043715814,0.0,0.014573714913758893,0.4675988671902252,13.043474847814196,F-CBS (T=5.0),1
4,180,2.4464393446710155,192.2321967233551,5,0.034722222222222224,-0.10763295840339498,0.4714981253503047,0.06666666666667166,0.10084565032650888,1.9951790310502169,0.09876543209876544,0.7309930248041296,0.6700785324679338,0.0,1.0,0.13437562588089003,1.0130779278066604,0.026010211011611092,0.013591329692616753,0.4714981253503047,12.232196723355088,F-CBS (T=5.0),1
5,179,2.952819531114783,193.76409765557392,8,0.05555555555555555,-0.08132622648499914,0.36420689000074447,0.0424242424242471,0.09104206375172322,1.8093841711875753,0.09000000000000001,0.5953760881312263,0.6214508340046928,-0.12499999999999996,1.0,0.1500541345739015,1.1209018214022248,0.0,0.01649619849784795,0.36420689000074447,14.76409765557392,F-CBS (T=5.0),1
5,179,3.127986806877675,194.63993403438838,9,0.0625,-0.055318304427333605,0.24931879486393568,0.0272727272727239,0.084054357484276,1.6676216074984938,0.08264462809917354,0.5811615033698059,0.6025945101208492,-0.11111111111111112,1.0,0.15448022903861436,0.1751672757628917,0.0,0.017474786630601535,0.24931879486393568,15.639934034388375,F-CBS (T=5.0),1
6,180,2.25,191.25,4,0.027777777777777776,-0.07195483025753967,0.3038300953436469,0.05594405594405429,0.121691366356548,2.1769482684113646,0.13888888888888887,0.3863276786480413,0.4404408202640248,-0.14907119849998596,1.0,0.15047062409124734,1.330736951110645,0.026143790849673203,0.0125,0.3038300953436469,11.25,F-CBS (T=5.0),1
