scenario,algorithm,temperature,annealing,solved,iterations,cost,time
6,F-CBS Anneal (T=1.0→0),1.0,True,True,6,89.0,0.004431962966918945
6,F-CBS Anneal (T=2.0→0),2.0,True,True,6,89.0,0.004864215850830078
6,F-CBS Anneal (T=5.0→0),5.0,True,True,6,89.0,0.0044558048248291016
6,F-CBS Anneal (T=10.0→0),10.0,True,True,6,89.0,0.004145145416259766
6,F-CBS Anneal (T=12.0→0),12.0,True,True,6,89.0,0.005390644073486328
7,CBS,,False,False,1024,inf,0.5053846836090088
7,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5730197429656982
7,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6168553829193115
7,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5819227695465088
7,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6103084087371826
7,F-CBS (T=12.0),12.0,False,False,1024,inf,0.6099650859832764
7,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5868704319000244
7,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.6039113998413086
7,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.5888128280639648
7,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.5833384990692139
7,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.5634965896606445
8,CBS,,False,True,51,73.0,0.03068685531616211
8,F-CBS (T=1.0),1.0,False,True,12,73.0,0.0069391727447509766
8,F-CBS (T=2.0),2.0,False,True,8,73.0,0.005074024200439453
8,F-CBS (T=5.0),5.0,False,True,8,73.0,0.005299091339111328
8,F-CBS (T=10.0),10.0,False,True,8,73.0,0.0062754154205322266
8,F-CBS (T=12.0),12.0,False,True,8,73.0,0.0066280364990234375
8,F-CBS Anneal (T=1.0→0),1.0,True,True,14,73.0,0.009340763092041016
8,F-CBS Anneal (T=2.0→0),2.0,True,True,9,73.0,0.008323431015014648
8,F-CBS Anneal (T=5.0→0),5.0,True,True,9,73.0,0.006292819976806641
8,F-CBS Anneal (T=10.0→0),10.0,True,True,9,73.0,0.007784366607666016
8,F-CBS Anneal (T=12.0→0),12.0,True,True,9,73.0,0.007932901382446289
9,CBS,,False,False,1024,inf,0.6109676361083984
9,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6205885410308838
9,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6504116058349609
9,F-CBS (T=5.0),5.0,False,False,1024,inf,0.6101324558258057
9,F-CBS (T=10.0),10.0,False,False,1024,inf,0.5932950973510742
9,F-CBS (T=12.0),12.0,False,False,1024,inf,0.598698616027832
9,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.6161389350891113
9,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.6290690898895264
9,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.6477150917053223
9,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.6364388465881348
9,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.68222975730896
10,CBS,,False,True,39,73.0,0.024695873260498047
10,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6394672393798828
10,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6476242542266846
10,F-CBS (T=5.0),5.0,False,False,1024,inf,0.6431756019592285
10,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6383438110351562
